code,en_name,cn_name,category,price,img
10002,INFLATABLE POLITICAL GLOBE,充气政治地球仪,生活用品,0.85,/images/placeholder-life.svg
10080,GROOVY CACTUS INFLATABLE,时髦仙人掌充气玩具,玩具,0.85,/images/placeholder-toy.svg
10120,DOGGY RUBBER,小狗橡皮,生活用品,0.21,/images/placeholder-life.svg
10123C,HEARTS WRAPPING TAPE,心形包装胶带,装饰品,0.65,/images/placeholder-decor.svg
10124G,ARMY CAMO BOOKCOVER TAPE,军队迷彩书皮胶带,文具,0.42,/images/placeholder-stationery.svg
10125,MINI FUNKY DESIGN TAPES,迷你时尚设计胶带,文具,0.85,/images/placeholder-stationery.svg
10133,COLOURING PENCILS BROWN TUBE,棕色管装彩色铅笔,文具,0.85,/images/placeholder-stationery.svg
10134,COLOURING PENCILS BROWN TUBE,棕色筒装彩色铅笔,文具,1.25,/images/placeholder-stationery.svg
10135,COLOURING PENCILS BROWN TUBE,棕色管装彩色铅笔,文具,1.25,/images/placeholder-stationery.svg
10138,ASSORTED COLOUR JUMBO PEN,混色粗杆笔,文具,0.42,/images/placeholder-stationery.svg
11001,ASSTD DESIGN RACING CAR PEN,多款设计赛车笔,文具,1.69,/images/placeholder-stationery.svg
15030,FAN BLACK FRAME,黑色框架扇子,收纳用品,0.29,/images/placeholder-storage.svg
15034,PAPER POCKET TRAVELING FAN,纸袋旅行扇,购物袋,0.14,/images/placeholder-bag.svg
15036,ASSORTED COLOURS SILK FAN,彩色丝绸扇,生活用品,0.75,/images/placeholder-life.svg
15039,SANDALWOOD FAN,檀香扇,生活用品,0.85,/images/placeholder-life.svg
15044A,PINK PAPER PARASOL,粉色纸伞,文具,2.95,/images/placeholder-stationery.svg
15044B,BLUE PAPER PARASOL,蓝色纸伞,文具,2.95,/images/placeholder-stationery.svg
15044C,PURPLE PAPER PARASOL,紫色纸阳伞,文具,2.95,/images/placeholder-stationery.svg
15044D,RED PAPER PARASOL,红色纸伞,文具,2.95,/images/placeholder-stationery.svg
15056BL,EDWARDIAN PARASOL BLACK,爱德华时代黑色阳伞,生活用品,5.95,/images/p28.jpg
15056N,EDWARDIAN PARASOL NATURAL,爱德华时代自然色阳伞,生活用品,5.95,/images/p25.jpg
15056P,EDWARDIAN PARASOL PINK,爱德华时代粉色阳伞,生活用品,5.95,/images/placeholder-life.svg
15058A,BLUE WHITE SPOTS GARDEN PARASOL,蓝白圆点花园阳伞,生活用品,7.95,/images/placeholder-life.svg
15058B,PINK WHITE SPOTS GARDEN PARASOL,粉白圆点花园阳伞,生活用品,7.95,/images/placeholder-life.svg
15058C,ICE CREAM DESIGN GARDEN PARASOL,冰淇淋图案花园阳伞,生活用品,7.95,/images/placeholder-life.svg
15060B,FAIRY CAKE DESIGN UMBRELLA,仙女蛋糕设计雨伞,厨房用品,3.75,/images/placeholder-kitchen.svg
